"ID","画像管理番号","掲載状況","登録区分","素材管理番号","BUD_PHOTO番号","被写体の名称","素材（画像）の詳細内容","撮影時期","撮影時期","掲載期間From","掲載期間To","期間","写真入手元","写真入手元　その他","掲載可能範囲","外部出稿条件付き","要クレジット","要使用許可 ","このアカウントのみ使用可","版権所有者","お客様情報　部署名","お客様情報　名前","新規者のアカント","新規者の名前","許可者のアカント","許可者の名前","許可日","備考","新規日付","画像ファイル名"
"","","2","3","元画像なし","","map_10_UT79301_コースマップ","マップ、バナー、UT79301、http://www.hankyu-travel.com/tour/detail_i.php?p_course_id=UT79301&p_hei=10","-1","-1","2000/1/1","2100/1/1","mukigen","2","バド制作","1","","","","0","","web推進課","佐古葵様","b-ya.koutsuka","高塚　祥則","","","","","","map_10_UT79301.jpg"
"","","2","3","元画像なし","","map_10_UT79302_コースマップ","マップ、バナー、UT79302、http://www.hankyu-travel.com/tour/detail_i.php?p_course_id=UT79302&p_hei=10","-1","-1","2000/1/1","2100/1/1","mukigen","2","バド制作","1","","","","0","","web推進課","佐古葵様","b-ya.koutsuka","高塚　祥則","","","","","","map_10_UT79302.jpg"
"","","2","3","元画像なし","","map_10_XT101_コースマップ","マップ、バナー、XT101、http://www.hankyu-travel.com/tour/detail_i.php?p_course_id=XT101&p_hei=10","-1","-1","2000/1/1","2100/1/1","mukigen","2","バド制作","1","","","","0","","web推進課","佐古葵様","b-ya.koutsuka","高塚　祥則","","","","","","map_10_XT101.png"
"","","2","3","元画像なし","","map_10_XT102_コースマップ","マップ、バナー、XT102、http://www.hankyu-travel.com/tour/detail_i.php?p_course_id=XT102&p_hei=10","-1","-1","2000/1/1","2100/1/1","mukigen","2","バド制作","1","","","","0","","web推進課","佐古葵様","b-ya.koutsuka","高塚　祥則","","","","","","map_10_XT102.jpg"
"","","2","3","元画像なし","","map_10_XT103_コースマップ","マップ、バナー、XT103、http://www.hankyu-travel.com/tour/detail_i.php?p_course_id=XT103&p_hei=10","-1","-1","2000/1/1","2100/1/1","mukigen","2","バド制作","1","","","","0","","web推進課","佐古葵様","b-ya.koutsuka","高塚　祥則","","","","","","map_10_XT103.png"
"","","2","3","元画像なし","","map_10_XT105_コースマップ","マップ、バナー、XT105、http://www.hankyu-travel.com/tour/detail_i.php?p_course_id=XT105&p_hei=10","-1","-1","2000/1/1","2100/1/1","mukigen","2","バド制作","1","","","","0","","web推進課","佐古葵様","b-ya.koutsuka","高塚　祥則","","","","","","map_10_XT105.jpg"
"","","2","3","元画像なし","","map_10_XT107_コースマップ","マップ、バナー、XT107、http://www.hankyu-travel.com/tour/detail_i.php?p_course_id=XT107&p_hei=10","-1","-1","2000/1/1","2100/1/1","mukigen","2","バド制作","1","","","","0","","web推進課","佐古葵様","b-ya.koutsuka","高塚　祥則","","","","","","map_10_XT107.jpg"
"","","2","3","元画像なし","","map_10_XT438NH_コースマップ","マップ、バナー、XT438NH、http://www.hankyu-travel.com/tour/detail_i.php?p_course_id=XT438NH&p_hei=10","-1","-1","2000/1/1","2100/1/1","mukigen","2","バド制作","1","","","","0","","web推進課","佐古葵様","b-ya.koutsuka","高塚　祥則","","","","","","map_10_XT438NH.jpg"
"","","2","3","元画像なし","","map_10_XT750_コースマップ","マップ、バナー、XT750、http://www.hankyu-travel.com/tour/detail_i.php?p_course_id=XT750&p_hei=10","-1","-1","2000/1/1","2100/1/1","mukigen","2","バド制作","1","","","","0","","web推進課","佐古葵様","b-ya.koutsuka","高塚　祥則","","","","","","map_10_XT750.jpg"
"","","2","3","元画像なし","","map_10_XT770TC_コースマップ","マップ、バナー、XT770TC、http://www.hankyu-travel.com/tour/detail_i.php?p_course_id=XT770TC&p_hei=10","-1","-1","2000/1/1","2100/1/1","mukigen","2","バド制作","1","","","","0","","web推進課","佐古葵様","b-ya.koutsuka","高塚　祥則","","","","","","map_10_XT770TC.png"
